DayCount,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
246,1069.04,1073.93,1046.84,1065.1,2111.36,2242496.4,1062.11
247,1065.09,1065.13,913.73,984.55,16914.76,16616803.25,982.38
248,984.07,989.81,950.1,986,3362.58,3259458.15,969.33
249,985.71,992,953.29,975.44,1830.15,1789206.53,977.63
250,974.14,979.99,950,976.82,3045.88,2940578.91,965.43
251,976.89,985.7,963.9,978.8,3139.43,3056642.32,973.63
252,977.6,1010.68,977.6,996.08,2715.83,2705156.6,996.07
253,995.49,1008.98,987.62,1008.97,953.57,951457.38,997.78
254,1008.96,1020,999.27,1006,1512.85,1531199.64,1012.13
255,1006,1011.53,1002,1009.1,1222.73,1232583.06,1008.06
256,1009.1,1019,1009.1,1012.4,783.35,793914.64,1013.48
257,1011.01,1011.97,1000.82,1001.65,615.71,619798.47,1006.63
258,1002,1008,997.04,1005.63,348.02,348930.26,1002.63
259,1005.5,1010.99,998.12,1000.08,926.5,929317.96,1003.04
260,1000.08,1002.98,991.98,1000.73,793.77,792218.68,998.05
261,1000.73,1007.89,999,1007.18,344.56,345466.62,1002.64
262,1007.18,1007.54,975.1,992.09,2051.84,2031626.69,990.15
263,993.05,1000,992.04,995.07,1245.74,1241325.41,996.45
264,995.91,1001.6,994.67,1000.79,905.12,903712.06,998.44
265,1000.74,1002.01,987.97,1002.01,1479.79,1474440.57,996.38
266,1002,1019,990,995.47,3101.58,3134134.99,1010.5
267,993.11,1011.98,993.04,1009.9,1160.48,1169812.81,1008.04
268,1009.88,1011.98,1004.58,1008.88,1019.25,1027721.96,1008.31
269,1008.88,1012,1005,1009.14,599.64,605671.19,1010.07
270,1008.71,1010.91,1000.97,1007.03,842.64,847943.59,1006.29
271,1007.03,1012.54,1006.37,1009.7,1060.61,1070909.08,1009.71
272,1009.7,1013.8,1008.13,1011.53,592.77,599288.36,1011
273,1011.53,1030,1010.75,1022.69,1527.78,1562056.83,1022.44
274,1022.69,1029.99,1018,1023.99,879.88,899926.06,1022.78
275,1024,1040,1021.89,1034.41,2120.88,2189387.01,1032.3
276,1034.42,1043.21,1026.81,1032.7,1467.57,1518868.96,1034.96
277,1032.91,1039.99,1031.98,1034.03,842.97,873323.16,1036.01
278,1034.06,1048.56,1033,1042.39,1437.7,1494921.91,1039.8
279,1042,1064.99,1038.41,1054.49,2772.86,2926543.92,1055.43
280,1054.35,1062.74,1053.02,1055.46,1031.5,1091496.17,1058.16
281,1055.75,1068.97,1052,1065.73,1520.48,1614120.71,1061.58
282,1065,1068.99,1060.5,1060.5,826.7,879874.07,1064.33
283,1061.21,1067,1049.94,1062,1387.11,1468821.2,1058.9
284,1060.61,1065.79,1046.14,1056.4,740.66,783015.64,1057.19
285,1056.4,1056.4,1047,1056.4,408.08,429739.91,1053.08
286,1055.74,1061.9,1049.47,1053.35,523.98,554091.65,1057.46
287,1054.4,1055.74,1039.07,1052.39,987.67,1036203.55,1049.14
288,1052.39,1055.41,1045.2,1051.8,351.11,368740.31,1050.2
289,1051.8,1053.32,1044.39,1049,449.04,470711.27,1048.26
290,1049,1064.67,1049,1053.79,589.41,623315.64,1057.53
291,1054,1064.26,1053.79,1061.44,928.06,984533.99,1060.85
292,1061.44,1089.99,1058.51,1084,1697.86,1824099.46,1074.35
293,1084,1085.04,1077,1083.46,816.81,883080.39,1081.14
294,1082.7,1114,1082.7,1113.9,2824.96,3101302.11,1097.82
295,1113.9,1117,1096.01,1116.55,2659.87,2947006.93,1107.95
296,1114.88,1126.86,1110.48,1124.62,2093.83,2342273.75,1118.66
297,1124.83,1127,1103,1110.28,1735.1,1935650.1,1115.58
298,1110.28,1121.75,1098.16,1120,2476.07,2760936.76,1115.05
299,1120,1139,1119,1136.52,3923.24,4427548.47,1128.54
300,1136.52,1143,1127,1130.01,3538.67,4022590.72,1136.75
301,1130.02,1134,1120.73,1130.65,1004.14,1133748.7,1129.07
302,1130.65,1153.8,1127.53,1150.92,3832.83,4376384.76,1141.82
303,1150.49,1160,1147,1154.99,3288.31,3794140.67,1153.83
304,1156.2,1193.92,1155.12,1188.11,3627.95,4253781.89,1172.5
305,1183.53,1220,1175,1208.02,4233.1,5069863.91,1197.67
306,1210.72,1213,1091.1,1167.14,9404.9,10879567.59,1156.8
307,1167.15,1206.73,1164.5,1195.34,3404.92,4054804.51,1190.87
308,1195.36,1197.36,1165,1180.14,2555.3,3019264.19,1181.57
309,1180.05,1182.99,1173.17,1175,717.82,847171.37,1180.21
310,1172.49,1184.73,1170.73,1182.52,930.1,1096230.46,1178.62
311,1181,1182.51,1127,1140.08,3235.44,3723382.16,1150.81
312,1143.76,1160.98,1139,1152.2,1355.08,1559660.78,1150.97
313,1152.11,1156.66,1133,1156.63,676.79,774864.45,1144.91
314,1154.29,1177.99,1150.34,1170.27,838.88,978930.27,1166.94
315,1170.27,1184.97,1165.49,1172.29,1508.12,1771111.08,1174.38
316,1172.29,1181.97,1167.04,1179.05,512.69,602712.28,1175.6
317,1180.46,1193.32,1169,1180,1128.08,1337108.71,1185.29
318,1179.62,1188.5,1173.37,1182.1,611.85,723401.7,1182.32
319,1185.73,1197.99,1171,1193.34,1879.87,2233516.05,1188.12
320,1193.32,1197.19,1185.59,1194.64,1020.97,1217280.44,1192.28
321,1194.64,1209.99,1176.27,1198.31,2489.92,2980381.84,1196.98
322,1197.07,1200,1180.93,1185.52,1713.01,2038694.3,1190.12
323,1185.53,1197,1179,1194.99,1973.03,2340141.2,1186.07
324,1194.94,1200,1189,1191.21,1386.51,1657865.17,1195.71
325,1191.16,1196.28,1189,1192.99,820.37,978430.45,1192.67
326,1191.54,1205.06,1188.3,1202.23,1506.72,1802753.76,1196.48
327,1202.23,1231,1202.23,1217.76,2808.59,3422236.8,1218.49
328,1217.82,1228,1216.32,1226.39,877.39,1072719.32,1222.63
329,1228,1229.23,1215,1220,831.59,1017150.24,1223.14
330,1220,1234,1219.06,1234,1060.49,1303275.86,1228.94
331,1232.01,1283.25,1228.33,1279.37,2924.03,3647903.27,1247.56
332,1278.03,1282.99,1239.38,1257.6,2946.62,3711210.14,1259.48
333,1256.32,1270.81,1256.29,1257.2,791.16,999185.4,1262.93
334,1258.11,1298,1255,1290.99,1977.29,2532637.75,1280.86
335,1290.99,1294.43,1257,1266.99,3718.17,4735582.26,1273.63
336,1266.99,1288,1259.41,1285.33,1058.85,1348243.01,1273.31
337,1287.38,1289.55,1273.82,1280.93,710.31,909381.82,1280.26
338,1280.93,1284.74,1268.2,1268.21,595.82,760595.65,1276.56
339,1269.92,1276.95,1230,1247.45,2711.37,3392038.28,1251.04
340,1249.45,1262.34,1249.45,1260,933.73,1175586.16,1259.02
341,1260,1262.34,1247.45,1253.42,701.87,881263.78,1255.59
342,1253.5,1256.42,1240,1249.99,577.3,719931.29,1247.06
343,1249.62,1272.93,1247.05,1264.62,1003.79,1265556.88,1260.78
344,1267.06,1275,1259,1273,743.05,942774.49,1268.79
345,1269.98,1273.97,1251,1260.11,785.71,994006.37,1265.11
346,1260.8,1282.33,1260.8,1279.55,1163.73,1485750.84,1276.71
347,1277.01,1285,1270.04,1278.75,1399.97,1791186.47,1279.45
348,1279.01,1281,1272,1278.49,900.24,1149829.26,1277.25
349,1278.49,1281.62,1260.62,1270,928.3,1181225.3,1272.45
350,1270,1276,1175.97,1210.02,6373.18,7854460.58,1232.42
351,1212.21,1268,1200.01,1255.46,5192.84,6416897.73,1235.72
352,1256.04,1257.91,1231,1233.05,1955.71,2435166,1245.16
353,1233.86,1245.49,1181,1189.34,3027.9,3652477.38,1206.27
354,1190.3,1229.19,1160,1206.63,3385.71,4043278.19,1194.22
355,1203.03,1214.76,1175.59,1188.41,2964.89,3535179.73,1192.35
356,1189.02,1195,1145.5,1150.05,4020.94,4674660.15,1162.58
